一,太陽能模組,
1,出廠/按裝日期,2025/8/25
2,規格,380Wp
3,使用電流及電壓,DC34.37V  /11.06A
4,維修保養周期,每季
5,施工廠商名稱及電話,固態能源科技股份有限公司 04-25131268
6,安裝人員姓名及電話,固態 陳柏僥 04-25131268
7,緊急維修人員姓名及電話,固態 陳柏僥 04-25131268
8,負責維修人員姓名及電話,固態 陳柏僥 04-25131268
,,
,,
二,變流器,
1,出廠/按裝日期,2025/8/25
2,規格,70kVA
3,使用電流及電壓,3ψ380V
4,維修保養周期,每季
5,施工廠商名稱及電話,固態能源科技股份有限公司 04-25131268
6,安裝人員姓名及電話,固態 陳柏僥 04-25131268
7,緊急維修人員姓名及電話,固態 陳柏僥 04-25131268
8,負責維修人員姓名及電話,固態 陳柏僥 04-25131268
,,
,,
三,變流器,
1,出廠/按裝日期,2025/8/25
2,規格,100kVA
3,使用電流及電壓,3ψ380V
4,維修保養周期,每季
5,施工廠商名稱及電話,固態能源科技股份有限公司 04-25131268
6,安裝人員姓名及電話,固態 陳柏僥 04-25131268
7,緊急維修人員姓名及電話,固態 陳柏僥 04-25131268
8,負責維修人員姓名及電話,固態 陳柏僥 04-25131268
,,
,,
四,配電盤,
1,出廠/按裝日期,2025/8/25
2,規格,989.8kw
3,使用電流及電壓,3ψ380V
4,維修保養周期,每季
5,施工廠商名稱及電話,固態能源科技股份有限公司 04-25131268
6,安裝人員姓名及電話,固態 陳柏僥 04-25131268
7,緊急維修人員姓名及電話,固態 陳柏僥 04-25131268
8,負責維修人員姓名及電話,固態 陳柏僥 04-25131268
,,
,,
五,配電盤,
1,出廠/按裝日期,2025/8/25
2,規格,104.98kw
3,使用電流及電壓,3ψ380V
4,維修保養周期,每季
5,施工廠商名稱及電話,固態能源科技股份有限公司 04-25131268
6,安裝人員姓名及電話,固態 陳柏僥 04-25131268
7,緊急維修人員姓名及電話,固態 陳柏僥 04-25131268
8,負責維修人員姓名及電話,固態 陳柏僥 04-25131268
,,
,,
六,監控系統,
1,出廠/按裝日期,2025/8/25
2,規格,SCADA
3,使用電流及電壓,AC110/220V or DC24V
4,維修保養周期,每季
5,施工廠商名稱及電話,固態能源科技股份有限公司 04-25131268
6,安裝人員姓名及電話,固態 陳柏僥 04-25131268
7,緊急維修人員姓名及電話,固態 陳柏僥 04-25131268
8,負責維修人員姓名及電話,立達興 陳為弘 02-29993670
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
